text,domain,intent
how can i set up direct deposits from my job to my bank,work,direct_deposit
i have a great western bank account i want direct deposits to go to,work,direct_deposit
can you show me how to set up direct deposit,work,direct_deposit
do a websearch for direct deposit set up,work,direct_deposit
what are the steps for setting up direct deposit,work,direct_deposit
what am i allowed to carry on for american airlines,travel,carry_on
what are the carry on rules for united,travel,carry_on
what can't i carry-on to delta,travel,carry_on
tell me united's carry on policy,travel,carry_on
what is the carry on limit,travel,carry_on
what should i know about the carry on policy for american,travel,carry_on
"if i fly internationally, do brittish airwaiys have carry-on limitations",travel,carry_on
what are the rules for carry on luggage for delta,travel,carry_on
can i have 3 carry ons with delta at jfk,travel,carry_on
how many carry ons are allowed on a flight with wow to iceland,travel,carry_on
what are the requirements for carry on on flights with united airlines,travel,carry_on
does delta allow more than one carry on when traveling to miami,travel,carry_on
could you list out the carry-on restrictions for american airlines,travel,carry_on
do i have to pay for carry-ons on delta,travel,carry_on
"if i take a flight on pan am to denver, how many carry ons are included",travel,carry_on
how many bags can i carry-on for flights on singapore airlines,travel,carry_on
how many carry ons can i take on a flight with american airlines to seattle,travel,carry_on
"when taking a flight with porter to toronto, how many carry ons can i take",travel,carry_on
"on a flight with allegiant to orlando, how many carry ons can i take",travel,carry_on
would you let me know the carry-on restrictions for american airlines,travel,carry_on
how many carry ons can i take on a flight with delta to mexico city,travel,carry_on
what are the carry-on rules,travel,carry_on
"when taking a flight with lion to singapore, how many carry ons are allowed",travel,carry_on
what are the rules regarding carry-on baggage for flights on virgin airlines,travel,carry_on
what's restricted in my carry-on with united,travel,carry_on
does jet blue have any carry-on restrictions,travel,carry_on
i need to know the carry-on restrictions for united airlines,travel,carry_on
how many carry ons will american let me take for a flight to los vegas,travel,carry_on
does delta have carry-on restrictions,travel,carry_on
how many carry ons can i take on a flight with jet blue to washington dc,travel,carry_on
what are the carry-on restrictions for singapore airlines,travel,carry_on
tell me the carry on rules,travel,carry_on
i am flying jetblue and need to know what the most number of bags are that i can carry on,travel,carry_on
am i limited in carry ons for jet blue,travel,carry_on
am i allowed carry ons for my flight with westjet to edmonton,travel,carry_on
what are the carry-on restrictions for united,travel,carry_on
does united airlines allow more than one carry on,travel,carry_on
what are the carry-on restrictions for delta,travel,carry_on
would you let me know how many carry ons i can take on a flight with southwest airlines to miami,travel,carry_on
is there a carry on weight limit,travel,carry_on
please find the rules for carry on when flying with spirit airlines,travel,carry_on
what are the carry-on restrictions for southwest airlines,travel,carry_on
how my carry ons does spirit airlines allow me for a flight to dallas,travel,carry_on
can you tell me jet blue airlines' carry on policy,travel,carry_on
what is the carry-on policy say for flights on delta airlines,travel,carry_on
search for carry on rules for flights on delta airlines,travel,carry_on
carry-on restrictions for air emirates,travel,carry_on
which rules does delta have for carry on,travel,carry_on
tell me the carry-on restrictions for united airlines,travel,carry_on
let me know the rules for carry ons for continental,travel,carry_on
volume to whisper voice,meta,whisper_mode
i want whisper mode to be switched off,meta,whisper_mode
let's switch out of whisper mode,meta,whisper_mode
i want your setting adjusted to whisper voice now,meta,whisper_mode
go into whisper mode now please,meta,whisper_mode
turn up your volume,meta,whisper_mode
exit out of whisper mode,meta,whisper_mode
go back to normal mode please,meta,whisper_mode
immediately begin using whisper mode,meta,whisper_mode
switch over to whisper,meta,whisper_mode
i think we should whisper,meta,whisper_mode
turn on the whisper voice,meta,whisper_mode
i'm going to need you to be quiet now please,meta,whisper_mode
switch to quiet mode,meta,whisper_mode
please turn on whisper mode because i am about to be in class,meta,whisper_mode
i want whisper mode,meta,whisper_mode
"change to whisper mode, please",meta,whisper_mode
go into whisper mode now,meta,whisper_mode
turn your volume up,meta,whisper_mode
"i can't hear you, stop whispering!",meta,whisper_mode
shh please speak with a whisper,meta,whisper_mode
can you whisper until i tell you not to,meta,whisper_mode
i need you to switch to whisper mode,meta,whisper_mode
please turn on whisper mode,meta,whisper_mode
can you go to the whisper voice,meta,whisper_mode
i need your setting switched to whisper mode right away,meta,whisper_mode
stop using the whisper mode,meta,whisper_mode
please talk quietly,meta,whisper_mode
use your quiet voice,meta,whisper_mode
whisper from here on out please,meta,whisper_mode
switch to whisper mode,meta,whisper_mode
turn on your whisper mode,meta,whisper_mode
please shut off whisper mode for now,meta,whisper_mode
can you please lower the volume please,meta,whisper_mode
"switch to whisper mode, please",meta,whisper_mode
i want to switch out of whisper mode,meta,whisper_mode
i want you to be in whisper mode now because i am in the library,meta,whisper_mode
change out of whisper mode,meta,whisper_mode
whisper from now on,meta,whisper_mode
please speak with the whisper voice,meta,whisper_mode
start using whisper mode,meta,whisper_mode
please switch to whisper mode for now,meta,whisper_mode
let's use whisper voice,meta,whisper_mode
6 inch voices please,meta,whisper_mode
talk in whisper voice,meta,whisper_mode
i decide to switch out of whisper mode,meta,whisper_mode
let's start whispering,meta,whisper_mode
can you switch to whisper mode,meta,whisper_mode
make sure to set yourself to whisper mode before i go to the movie,meta,whisper_mode
i want you to use whisper voice now,meta,whisper_mode
please send a text,utility,text
write text message to someone,utility,text
send mom a text asking where are you,utility,text
text message chris and say i love you,utility,text
send a text to someone,utility,text
can you text arthur and tell them im almost there,utility,text
text billy and tell him to be at monday's meeting at 3pm,utility,text
can you text christopher and tell them im on my way,utility,text
send a text message for me,utility,text
please send ann a text and tell her i will be home in 20 minutes,utility,text
please send a text message to natalie for me,utility,text
i want to send a text,utility,text
text matt and tell him i will be late tonight,utility,text
text my boss for me and tell them i will be a little bit late,utility,text
send chris a text message that says stop for milk on your way home,utility,text
i have to send a text,utility,text
text my dad for me and tell them i love you,utility,text
text josh and tell him i need a delivery,utility,text
send a text and tell chris i’m not working today,utility,text
can you send a text for me,utility,text
text my friend for me and tell them to meet me later,utility,text
text christopher and tell him i will stop by,utility,text
can you text the sgt adam and tell them i found the missing girl,utility,text
text a message to alice,utility,text
i need you to text someone for me,utility,text
i need sal to be texted and say i'll be there,utility,text
send a text message to chris and ask what he wants to eat for dinner,utility,text
send a text message,utility,text
text sal and tell them hi,utility,text
text sal and let them know the answer is yes,utility,text
compose text message,utility,text
text my doctor and tell him it happened again,utility,text
write a text to alice,utility,text
can you send a text to someone,utility,text
let sal know by text i will be attending,utility,text
start a new text to maureen and tell her i go mom's christmas present,utility,text
create a new text,utility,text
text bill and tell him i'll be 30 minutes late,utility,text
create a text message to,utility,text
set up a new text message,utility,text
give a text to my cousin linda that says happy birthday,utility,text
text my mom for me and tell them i will be home soon,utility,text
text tony and invite him to my party next saturday,utility,text
text chris and ask what time he will be home,utility,text
text christy and ask her what she wants for dinner,utility,text
i have to have a text sent,utility,text
text nick and tell him the car's ready,utility,text
i need to send a text,utility,text
text robby hello,utility,text
can you text elizabeth and tell them i forgot to bring drinks,utility,text
i need a blackberry pie recipe,kitchen_dining,recipe
find a recipe for german chocolate cake,kitchen_dining,recipe
please find me a recipe for spaghetti now,kitchen_dining,recipe
can you find me a recipe for sugar cookies,kitchen_dining,recipe
i need a recipe on how to make beef stew,kitchen_dining,recipe
i need you to find me a recipe for fried shrimp,kitchen_dining,recipe
what's the best way to make chicken stir fry,kitchen_dining,recipe
can you instruct me on how to make german chocolate cake,kitchen_dining,recipe
please help me with instructions on making chicken curry,kitchen_dining,recipe
how do i make the perfect omelette,kitchen_dining,recipe
how do you make blackberry pie,kitchen_dining,recipe
i need the best recipe for mashed potatoes,kitchen_dining,recipe
can you find me a recipe for pie,kitchen_dining,recipe
search for a macaroni and cheese recipe,kitchen_dining,recipe
i need to know how to make philly cheesesteaks,kitchen_dining,recipe
can you give me a recipe for german chocolate cake,kitchen_dining,recipe
what is a good chili recipe,kitchen_dining,recipe
i need help finding a recipe for enchiladas,kitchen_dining,recipe
how do you create pork chili,kitchen_dining,recipe
please give me instructions on making blueberry pie,kitchen_dining,recipe
is there a good website to teach me how to make sushi,kitchen_dining,recipe
how do i make pumpkin pie,kitchen_dining,recipe
is there a recipe for chili i can use,kitchen_dining,recipe
can you find me a recipe for quiche,kitchen_dining,recipe
how do i make lassagna,kitchen_dining,recipe
what do i need to do to make blackberry pie,kitchen_dining,recipe
can you get me a recipe for mashed potatoes,kitchen_dining,recipe
i need a recipe for chicken pot pie,kitchen_dining,recipe
what is needed you to cook apple pie,kitchen_dining,recipe
can you find me a recipe for honey ham,kitchen_dining,recipe
where can i look to learn to make sushi,kitchen_dining,recipe
i am looking for a vegan friendly italian pasta recipe,kitchen_dining,recipe
what do you need to do to make sushi,kitchen_dining,recipe
how do i make beef stroganoff,kitchen_dining,recipe
i need a quick recipe for spiral ham,kitchen_dining,recipe
can you search for the best new york style cheesecake recipes please,kitchen_dining,recipe
can you find me a recipe for ribs,kitchen_dining,recipe
please show me a recipe for chili,kitchen_dining,recipe
how do you cook apple pie,kitchen_dining,recipe
can you find me a recipe for coffee cakes,kitchen_dining,recipe
tell me how to make chow mein,kitchen_dining,recipe
find a good recipe for meatloaf,kitchen_dining,recipe
how do i make lemon merengue pie,kitchen_dining,recipe
how can i make chicken pot pie,kitchen_dining,recipe
i need a recipe for beef,kitchen_dining,recipe
can you find me a recipe for pasta,kitchen_dining,recipe
can you find me a recipe for salsa,kitchen_dining,recipe
blackberry pie instructions,kitchen_dining,recipe
how do you cook meatloaf,kitchen_dining,recipe
look up easy to follow recipes for beef ribs,kitchen_dining,recipe
please turn my fan on,home,smart_home
please turn the fan on,home,smart_home
can you get the fan going in here,home,smart_home
lock all the doors,home,smart_home
what's the ac set to,home,smart_home
can you lock all the doors in the house,home,smart_home
turn tv on please,home,smart_home
start my vehicle,home,smart_home
remember to lock the doors,home,smart_home
what is the ac temperature,home,smart_home
i need some air; get the fan going,home,smart_home
turn the fan on,home,smart_home
please check the door to see who is there,home,smart_home
light the bedroom lights,home,smart_home
please set the temperature to 70,home,smart_home
put the garage lights on,home,smart_home
make sure all doors are locked,home,smart_home
can you please dim the lights,home,smart_home
make the lights dimmer please,home,smart_home
what temperature is the ac set at,home,smart_home
can you get my car started,home,smart_home
set temperature to 75,home,smart_home
what is the temperature on the ac,home,smart_home
warm up my car for me,home,smart_home
on the lounge lights turn,home,smart_home
make sure the oven is set to 350 please,home,smart_home
will you please get my furnace turned on,home,smart_home
can you turn on the lights in the den,home,smart_home
who is at my front door,home,smart_home
tv on turn,home,smart_home
please start my car,home,smart_home
turn the tv to on right now,home,smart_home
turn the fan on please,home,smart_home
turn on the fan,home,smart_home
what's the persons name at my door,home,smart_home
please get my car started before i go out to it,home,smart_home
who is knocking,home,smart_home
i need my furnace turned on,home,smart_home
please lock every door,home,smart_home
can you look who is at the door,home,smart_home
set the temperature to 78,home,smart_home
can put fan on,home,smart_home
make the temperature 78 in here,home,smart_home
did anyone securely lock the door,home,smart_home
turn the fan to the on position,home,smart_home
can you turn on the lights in the backyard,home,smart_home
lock every door on the property,home,smart_home
turn lights on in my master bathroom,home,smart_home
activate my furnace please,home,smart_home
set the temperaure to 71,home,smart_home
who is your boss,small_talk,who_do_you_work_for
which organization you work for,small_talk,who_do_you_work_for
do you work for me or is that wrong,small_talk,who_do_you_work_for
who directs your labor,small_talk,who_do_you_work_for
who is you employer,small_talk,who_do_you_work_for
do you happen to be employed by me,small_talk,who_do_you_work_for
you work for someone else or no,small_talk,who_do_you_work_for
what is your boss's name,small_talk,who_do_you_work_for
are you here to serve me,small_talk,who_do_you_work_for
who are they that you work for,small_talk,who_do_you_work_for
what entity is your boss,small_talk,who_do_you_work_for
who do yo work for,small_talk,who_do_you_work_for
are you my worker,small_talk,who_do_you_work_for
don't you work for your self,small_talk,who_do_you_work_for
am i your employer,small_talk,who_do_you_work_for
are you employed by someone,small_talk,who_do_you_work_for
what does your boss go by,small_talk,who_do_you_work_for
are you self employed,small_talk,who_do_you_work_for
who do you work for,small_talk,who_do_you_work_for
do you work for anyone else,small_talk,who_do_you_work_for
who tells you what to do,small_talk,who_do_you_work_for
i need to know who is your boss,small_talk,who_do_you_work_for
what is the name of your boss,small_talk,who_do_you_work_for
do you have a boss,small_talk,who_do_you_work_for
who do you report to,small_talk,who_do_you_work_for
are you now working for me,small_talk,who_do_you_work_for
who is in charge of you,small_talk,who_do_you_work_for
you work for what company or person exactly,small_talk,who_do_you_work_for
are you working for me,small_talk,who_do_you_work_for
don't you work for someone else,small_talk,who_do_you_work_for
who pay your salary,small_talk,who_do_you_work_for
am i your supervisor,small_talk,who_do_you_work_for
who would you say you are employed by,small_talk,who_do_you_work_for
am i the one you work for,small_talk,who_do_you_work_for
who else do you work for,small_talk,who_do_you_work_for
who else commands you,small_talk,who_do_you_work_for
is there another company you work for,small_talk,who_do_you_work_for
who do you do task for,small_talk,who_do_you_work_for
who do you function for,small_talk,who_do_you_work_for
do you have another job,small_talk,who_do_you_work_for
let me know who is your boss,small_talk,who_do_you_work_for
who is the boss of you,small_talk,who_do_you_work_for
is there another entity you work for,small_talk,who_do_you_work_for
is there someone else you work for,small_talk,who_do_you_work_for
am i your manager,small_talk,who_do_you_work_for
what organization do you work for,small_talk,who_do_you_work_for
who do you call your boss,small_talk,who_do_you_work_for
who do you job for,small_talk,who_do_you_work_for
are you working for someone else,small_talk,who_do_you_work_for
do you have an employer,small_talk,who_do_you_work_for
what is my citigroup card's rewards balance,credit_cards,rewards_balance
how many points are on my gold card,credit_cards,rewards_balance
where are rewards from my visa card visible,credit_cards,rewards_balance
how many points do i have on my mastercard,credit_cards,rewards_balance
i need to find out the rewards points i have left on my american express card,credit_cards,rewards_balance
what is the reward balance on my discover card,credit_cards,rewards_balance
what's the current reward amount on my visa,credit_cards,rewards_balance
i wonder how many points i have earned with my bank of america card,credit_cards,rewards_balance
what is the number of points i earned with my mastercard,credit_cards,rewards_balance
have i earned a lot of points on my capital one card,credit_cards,rewards_balance
how would i be able to check my kohls rewards card,credit_cards,rewards_balance
what is my current reward point total on my visa card,credit_cards,rewards_balance
how many delta miles are on my card right now,credit_cards,rewards_balance
i have how many tier credits on my caesar's card,credit_cards,rewards_balance
how many rewards points do i have for my mastercard,credit_cards,rewards_balance
what's the reward point count on my discover card,credit_cards,rewards_balance
where are my rewards for my chase card,credit_cards,rewards_balance
what do i have to do to see my rewards for my chase card,credit_cards,rewards_balance
how many points did i get on my visa card,credit_cards,rewards_balance
what is the amount of rewards points on my visa card,credit_cards,rewards_balance
how do i check how many rewards i have on my master card,credit_cards,rewards_balance
how many points have i accumulated on my mastercard,credit_cards,rewards_balance
is there a better way to check my visa rewards card balance,credit_cards,rewards_balance
what's the balance of my reward points on my discover card,credit_cards,rewards_balance
how can i see my rewards for my visa card,credit_cards,rewards_balance
what's my visa's current rewards balance,credit_cards,rewards_balance
can i check my visa reward balance online,credit_cards,rewards_balance
do you know how many rewards points are currently on my discover card,credit_cards,rewards_balance
what the current balance of reward points on my mastercard,credit_cards,rewards_balance
how high are the rewards on my discover card,credit_cards,rewards_balance
how many points did my visa earn,credit_cards,rewards_balance
how do i see me rewards for my chase card,credit_cards,rewards_balance
what points were earned on my mastercard,credit_cards,rewards_balance
how many points have i already accrued on my chase mastercard,credit_cards,rewards_balance
add up my reward points for master card,credit_cards,rewards_balance
when can i receive rewards on my visa card,credit_cards,rewards_balance
help me check my visa rewards card,credit_cards,rewards_balance
tell me how to check my rewards for my american express card,credit_cards,rewards_balance
how many rewards points do i have for my wells fargo card,credit_cards,rewards_balance
how many rewards do i have on my chase card,credit_cards,rewards_balance
how many reward points does my discover card have,credit_cards,rewards_balance
how many rewards points do i have for my chase card,credit_cards,rewards_balance
i need to hear how many points i've obtained on my capital one visa,credit_cards,rewards_balance
figure out my reward points for discovery card,credit_cards,rewards_balance
what is my points total for my mastercard,credit_cards,rewards_balance
does my mastercard have any rewards points remaining,credit_cards,rewards_balance
how do i check my rewards for my gold card,credit_cards,rewards_balance
can you help me tell what my starbucks rewards balance is,credit_cards,rewards_balance
what is the easiest way to check my bank rewards card,credit_cards,rewards_balance
how many rewards do i now have on my hy-vee card,credit_cards,rewards_balance
can you get me a table for 2 at mexico viejo at 3pm,kitchen_dining,restaurant_reservation
reserve a table for two for 7:30 pm at dibruno's under patrick donoghue,kitchen_dining,restaurant_reservation
you must reserve a table for 4 at red robin under the name kevin at 7,kitchen_dining,restaurant_reservation
i'd like a reservation for 2 at olive garden for 5 pm today,kitchen_dining,restaurant_reservation
i need to make a reservation for 8 pm at red robin for 3,kitchen_dining,restaurant_reservation
i think i need to make a reservation for 8 pm at red robin for 3,kitchen_dining,restaurant_reservation
can you get me a table for 4 at steve's,kitchen_dining,restaurant_reservation
i need you to reserve a table for 6:00 pm for three at devon's seafood,kitchen_dining,restaurant_reservation
"hello, i'd like a reservation for two at the olive garden at six tonight",kitchen_dining,restaurant_reservation
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",kitchen_dining,restaurant_reservation
make a reservation at 5 pm today for 2 at olive garden,kitchen_dining,restaurant_reservation
you have to reserve a table for 4 at red robin under the name kevin at 7,kitchen_dining,restaurant_reservation
book a reservation for 4 at outback steakhouse under the name dave,kitchen_dining,restaurant_reservation
can you get me a table for 6 at johnnys,kitchen_dining,restaurant_reservation
make a reservation for three at prime rib at 6:30 pm,kitchen_dining,restaurant_reservation
i gotta make a reservation for 8 pm at red robin for 3,kitchen_dining,restaurant_reservation
can i make a reservation for 8 pm at red robin for 3,kitchen_dining,restaurant_reservation
please make me a reservation for monty's at noon for 55555,kitchen_dining,restaurant_reservation
please reserve me a table for 2 pm at maxwell's on the 14th,kitchen_dining,restaurant_reservation
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",kitchen_dining,restaurant_reservation
can i make a reservation for 2 at state bird for 8:30,kitchen_dining,restaurant_reservation
make me a reservation for 5 at coral for 10 pm immediately,kitchen_dining,restaurant_reservation
please reserve a table for two at rouge for 7:00 pm,kitchen_dining,restaurant_reservation
can you get me a table for 5 at johnnys,kitchen_dining,restaurant_reservation
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm,kitchen_dining,restaurant_reservation
is it possible to get a table for 4 at the village inn around 10am,kitchen_dining,restaurant_reservation
please make a reservation for us at joy bar for 4 adults,kitchen_dining,restaurant_reservation
can you get me a table for two for 8:00 pm at parc,kitchen_dining,restaurant_reservation
"now, i need a reservation for backwoods crossing at seven for 6 people",kitchen_dining,restaurant_reservation
i would like a reservation for 6:30 pm at pietro's under the name david jones,kitchen_dining,restaurant_reservation
can you get me a table for 1 at the vega at 1pm,kitchen_dining,restaurant_reservation
i need you to reserve a table for 4 at red robin under the name kevin at 7,kitchen_dining,restaurant_reservation
can you book a table at the restaurant for me and my husband,kitchen_dining,restaurant_reservation
i want you to book a reservation for 8 pm at red robin under the name kevin,kitchen_dining,restaurant_reservation
please book a reservation for 8 pm at red robin under the name kevin,kitchen_dining,restaurant_reservation
i want to reserve a table at 8 at long john silver's under the name freddie,kitchen_dining,restaurant_reservation
"can i make a reservation for 2 at state bird for 7:30, please",kitchen_dining,restaurant_reservation
i want to have a table for 2 at the broadmore around 6,kitchen_dining,restaurant_reservation
i want to make a reservation for 8 pm at red robin for 3,kitchen_dining,restaurant_reservation
can i reserve a table for 2 at the olive garden at 8,kitchen_dining,restaurant_reservation
reserve a table for 5 at lawry's under the name steve at 8:00pm,kitchen_dining,restaurant_reservation
book a reservation for 3 at red lobster under the name steve,kitchen_dining,restaurant_reservation
can you get me a table for 8 at johnnys,kitchen_dining,restaurant_reservation
make me a reservation for tomorrow at happys for four,kitchen_dining,restaurant_reservation
book a reservation for 8 pm at red robin under the name kevin,kitchen_dining,restaurant_reservation
"call and make a 5:45 pm reservation for jason rogers, table for four",kitchen_dining,restaurant_reservation
can you make a reservation for me at the restaurant,kitchen_dining,restaurant_reservation
i need you to reserve at table for a party of four at devon's for 6:00 pm,kitchen_dining,restaurant_reservation
reserve a table for 4 at red lobster under the name dave at 7:30pm,kitchen_dining,restaurant_reservation
can you get me a table for 6 at mark's at 11am,kitchen_dining,restaurant_reservation
"i am going to south america, let my bank know",travel,travel_notification
i'm going to be in thailand from october 15th until october 23rd,travel,travel_notification
inform my bank that i'll be going to europe,travel,travel_notification
i let my bank know that i'm traveling to greece from march to april,travel,travel_notification
i need to let my bank know that i'll be travelling internationally,travel,travel_notification
let me bank know i will be in brazil from june 1st to july 1st,travel,travel_notification
"let my bank know that i'll be in moscow, russia",travel,travel_notification
im going to be in slovakia from january 16th until january 19th,travel,travel_notification
"i am going to asia in a bit, i should tell the bank",travel,travel_notification
please tell my bank that i will be traveling abroad,travel,travel_notification
how can i tell my bank i'm going to vietnam,travel,travel_notification
please let my bank know that i will be in uruguay from january to august,travel,travel_notification
notify my bank i'll be in rome from the 1st to the 17th,travel,travel_notification
inform my bank i will be travelling to central africa,travel,travel_notification
please tell my bank i will be in israel from the 6th to the 23rd,travel,travel_notification
im going to be in paraguay from january 7th until january 10th,travel,travel_notification
i'm travelling to seattle soon and want to inform my bank,travel,travel_notification
can you tell my bank that i'll be travelling internationally soon,travel,travel_notification
i'm travelling to spain soon and want to inform my bank,travel,travel_notification
alert my bank and let them know that i'm travelling to brussels,travel,travel_notification
i'm traveling to fresnosoon and want to inform my bank,travel,travel_notification
i need to let my bank know i am traveling to chicago,travel,travel_notification
i'm traveling to denmark soon and want to inform my bank,travel,travel_notification
please tell the bank i will be traveling internationally,travel,travel_notification
how do i inform my bank i'm going to paris,travel,travel_notification
can you let my bank know i'll be in uruguay from january to august,travel,travel_notification
tell my bank that i'll be in canada this weekend,travel,travel_notification
i'm traveling to england soon and want to inform my bank,travel,travel_notification
the bank should know i am going to asia soon,travel,travel_notification
"from january to august, i will be in uruguay, please let me bank know",travel,travel_notification
let my bank know that i'm going to norway between march 3 and march 5,travel,travel_notification
i'm traveling to ca soon and want to inform my bank,travel,travel_notification
tell my bank that i'm going to france,travel,travel_notification
alert my bank and let them know that i'm travelling to stockholm,travel,travel_notification
"i will be in uruguay from january to august, please let me bank know",travel,travel_notification
please let my bank know that i will be in rome from february 1 to march 1,travel,travel_notification
i'm traveling to belgium soon and want to inform my bank,travel,travel_notification
i am going out of country and need to inform my bank,travel,travel_notification
i'm traveling tony soon and want to inform my bank,travel,travel_notification
alert my bank and let them know that i'm travelling to china,travel,travel_notification
i'm travelling to boston soon and want to inform my bank,travel,travel_notification
inform my bank that i will be in rome from february 1 to march 1,travel,travel_notification
im going to be in canada from august 10th until august 12th,travel,travel_notification
"i'll be out of the country soon, and want to notify my bank",travel,travel_notification
alert my bank and let them know that i'm travelling to switzerland,travel,travel_notification
mark down that i will be in rome from february 1 to march 1 and notify my bank,travel,travel_notification
i am going out of country and my bank needs to be notified,travel,travel_notification
tell my bank i am taking a trip to brazil from june 1st to july 1st,travel,travel_notification
how can i let my bank know i'm going to denmark,travel,travel_notification
"i'm going to paris soon and want to let my bank know, how do i do that",travel,travel_notification
add one by metallica to my playlist,home,update_playlist
please add roar by katy perry to my playlist,home,update_playlist
add a song to my rock playlist,home,update_playlist
i wanna add help! by the beatles to my playlist,home,update_playlist
insert what i am listening to into my jazz playlist,home,update_playlist
new playlist that i will add god's plan to,home,update_playlist
could you insert broken by evanescence to my music,home,update_playlist
add god's plan by drake to my playlist,home,update_playlist
"connect this song to my playlist ""kids",home,update_playlist
add help! by the beatles to my playlist,home,update_playlist
my new playlist well be having god's plan adding to it,home,update_playlist
add this song to my top 40 playlist,home,update_playlist
i wanna add this song to my rock playlist,home,update_playlist
add 7 rings to my pop playlist,home,update_playlist
please add this song to my alternative playlist,home,update_playlist
put this song on my reggae playlist,home,update_playlist
please add someday by the strokes to my playlist,home,update_playlist
"the song that's on, add it to my favorite playlist",home,update_playlist
add walk by pantera to my playlist,home,update_playlist
add the current song to my favorite playlist,home,update_playlist
"put mambo #5 by lou bega on my playlist, please",home,update_playlist
yellow by coldplay to my playlist please,home,update_playlist
this song should be add this on my rock playlist,home,update_playlist
god's plan will be added to my new playlist,home,update_playlist
put dr feelgood by motley crue on my playlist,home,update_playlist
can you please add hero by skillet to my playlist,home,update_playlist
favorite what's currently playing on my playlist,home,update_playlist
add hells bells by acdc to my playlist,home,update_playlist
add mia to my spanish playlist,home,update_playlist
i want to have happy added to my rb playlist,home,update_playlist
add single ladies by beyonce to my pop playlist,home,update_playlist
add baby shark to my kid playlist,home,update_playlist
i need to add this song to my playlist of rock,home,update_playlist
let's add wonder by hillsong united to my playlist,home,update_playlist
please put this song on my moody monday playlist,home,update_playlist
"please add to ""kids"" playlist",home,update_playlist
add what's playing on my favorite playlist,home,update_playlist
i would like to add you say by lauren daigle to my playlist,home,update_playlist
please add this song to my jazz playlist,home,update_playlist
this song needs to be added to my reggae playlist,home,update_playlist
will you add what i'm listening to to my dinner playlist,home,update_playlist
"i want this song put on my ""kids"" playlist",home,update_playlist
will you add what i'm listening to to my bedroom playlist,home,update_playlist
add welcome to the jungle by guns n roses to my playlist,home,update_playlist
add yosemite to my rap playlist,home,update_playlist
will you add what i'm listening to to my road trip playlist,home,update_playlist
"make this song part of the ""kids"" playlist",home,update_playlist
append my playlist with smooth operator by sade,home,update_playlist
add this song to my dinner playlist,home,update_playlist
add this song to my slow jams playlist,home,update_playlist
can i increase my volume,meta,change_volume
volume needs to be at 4,meta,change_volume
go now and increase the volume to 4 please,meta,change_volume
please your volume,meta,change_volume
i'd like it to be louder,meta,change_volume
i need it louder,meta,change_volume
set volume higher,meta,change_volume
please increase your volume,meta,change_volume
the volume should be decreased,meta,change_volume
go ahead and put the volume to 4,meta,change_volume
"increase the volume level to 4, please",meta,change_volume
please increase the volume to 4 please,meta,change_volume
make the sound of my speaker greater,meta,change_volume
would you please increase your speaker volume,meta,change_volume
